ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
15414,CS,1111,001,Lecture,3,Panagiotis Apostolellis,MoWe 2:00pm - 3:15pm,Olsson Hall 120,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,95,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. Prerequisite: Students should have some experience with programming. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15415,CS,1112,001,Lecture,3,Elizabeth Orrico,MoWeFr 2:00pm - 3:15pm,Mechanical Engr Bldg 205,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,145,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. Prerequisite: Students must have no previous programming experience. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
19173,CS,2100,001,Lecture,4,Nada Basit,MoWeFr 11:00am - 11:50am,TBA,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Data Structures and Algorithms 1,,Open,0,175,0,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues."
19174,CS,2100,002,Lecture,4,Mark Floryan,MoWeFr 10:00am - 10:50am,TBA,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Data Structures and Algorithms 1,,Open,0,175,0,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues."
19176,CS,2100,101,Laboratory,0,Mark Floryan,Mo 3:30pm - 4:45pm,Olsson Hall 120,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Data Structures and Algorithms 1,,Open,0,120,0,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues."
19177,CS,2100,102,Laboratory,0,Mark Floryan,Mo 5:00pm - 6:45pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Data Structures and Algorithms 1,,Open,0,120,0,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues."
19178,CS,2100,103,Laboratory,0,Mark Floryan,Mo 7:00pm - 8:45pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Data Structures and Algorithms 1,,Open,0,120,0,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues."
15417,CS,2110,001,Lecture,3,Derrick Stone,MoWeFr 9:00am - 9:50am,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Software Development Methods,,Open,0,150,0,"A second course in computing with an emphasis on modern software development and principles central to computer science. Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.Prerequisite: CS 1110, 1111, 1112, 1113, or 1120 with a grade of C- or higher; or the CS 1110 placement test."
15418,CS,2110,101,Laboratory,0,Derrick Stone,Tu 5:00pm - 6:45pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Software Development Methods,,Open,0,141,0,"A second course in computing with an emphasis on modern software development and principles central to computer science. Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.Prerequisite: CS 1110, 1111, 1112, 1113, or 1120 with a grade of C- or higher; or the CS 1110 placement test."
15419,CS,2110,102,Laboratory,0,Derrick Stone,Tu 7:00pm - 8:45pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Software Development Methods,,Open,0,141,0,"A second course in computing with an emphasis on modern software development and principles central to computer science. Topics include software requirements, testing, object-oriented design, abstraction, encapsulation, recursion, and time-complexity.Prerequisite: CS 1110, 1111, 1112, 1113, or 1120 with a grade of C- or higher; or the CS 1110 placement test."
20723,CS,2120,001,Lecture,3,Elizabeth Orrico,TuTh 12:30pm - 1:45pm,Mechanical Engr Bldg 205,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Discrete Mathematics and Theory 1,,Open,0,150,0,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include sets, tuples, functions, relations, and combinatorial problems. Must have completed CS 1110 or CS 1111 or CS 1112 or CS 1113 with a grade of C- or better OR successfully completed the CS 1110 place out test."
20724,CS,2120,002,Lecture,3,Briana Morrison,TuTh 2:00pm - 3:15pm,Olsson Hall 120,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Discrete Mathematics and Theory 1,,Open,0,148,0,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include sets, tuples, functions, relations, and combinatorial problems. Must have completed CS 1110 or CS 1111 or CS 1112 or CS 1113 with a grade of C- or better OR successfully completed the CS 1110 place out test."
20725,CS,2120,003,Lecture,3,Briana Morrison,MoWeFr 10:00am - 10:50am,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Discrete Mathematics and Theory 1,,Open,0,155,0,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include sets, tuples, functions, relations, and combinatorial problems. Must have completed CS 1110 or CS 1111 or CS 1112 or CS 1113 with a grade of C- or better OR successfully completed the CS 1110 place out test."
19179,CS,2130,001,Lecture,4,Luther Tychonievich,TBA,TBA,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Systems and Organization 1,,Open,0,130,0,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics."
19180,CS,2130,002,Lecture,4,Daniel Graham,TBA,TBA,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Systems and Organization 1,,Open,0,130,0,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics."
19181,CS,2130,101,Laboratory,0,Luther Tychonievich,Th 5:00pm - 6:15pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Systems and Organization 1,,Open,0,130,0,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics."
19182,CS,2130,102,Laboratory,0,Luther Tychonievich,Th 6:30pm - 7:45pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Systems and Organization 1,,Open,0,130,0,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics."
15421,CS,2150,001,Lecture,3,Aaron Bloomfield,MoWeFr 12:00pm - 12:50pm,Maury Hall 209,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,240,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
16080,CS,2150,002,Lecture,3,Aaron Bloomfield,MoWeFr 1:00pm - 1:50pm,Maury Hall 209,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,240,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
15422,CS,2150,101,Laboratory,0,Aaron Bloomfield,Tu 9:30am - 10:45am,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,80,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
15423,CS,2150,102,Laboratory,0,Aaron Bloomfield,Tu 11:00am - 12:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,80,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
15424,CS,2150,103,Laboratory,0,Aaron Bloomfield,Tu 12:30pm - 1:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,80,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
15823,CS,2150,104,Laboratory,0,Aaron Bloomfield,Tu 2:00pm - 3:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,80,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
15904,CS,2150,105,Laboratory,0,Aaron Bloomfield,Tu 3:30pm - 4:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,80,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
16079,CS,2150,106,Laboratory,0,Aaron Bloomfield,Tu 5:00pm - 6:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,80,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
16145,CS,2150,107,Laboratory,0,Aaron Bloomfield,Tu 6:30pm - 7:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Program and Data Representation,,Open,0,80,0,"Introduces programs and data representation at the machine level. Data structuring techniques and the representation of data structures during program execution. Operations and control structures and their representation during program execution. Representations of numbers, arithmetic operations, arrays, records, recursion, hashing, stacks, queues, trees, graphs, and related concepts. Prerequisite: CS 2110 with grades of C- or higher, or the CS 2110 placement test; co-requisite CS 2102 or CS 2120"
16462,CS,2910,001,PRA,1,Staff,TBA,TBA,01/19/2022 - 05/03/2022,,,,,,,,,,,,,CS Education Practicum,,Closed,0,0,0,"An overview of computer science education for undergraduate students. Topics include ethics, diversity, tutoring and teaching techniques, and classroom management. Students enrolled in this course serve as a teaching assistant for a computer science course as part of their coursework."
15425,CS,3102,001,Lecture,3,Nathan Brunelle,TuTh 3:30pm - 4:45pm,Mechanical Engr Bldg 205,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Theory of Computation,,Open,0,140,0,"Introduces computation theory including grammars, finite state machines, pushdown automata, and Turing machines.Prerequisites: CS 2102 or CS 2120, and CS 2110 or CS 2501 topic ""DSA 2"" or the CS 2110 placement test; both with grades of C- or higher."
20471,CS,3102,002,Lecture,3,Staff,TuTh 5:00pm - 6:15pm,Mechanical Engr Bldg 205,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Theory of Computation,,Open,0,140,0,"Introduces computation theory including grammars, finite state machines, pushdown automata, and Turing machines.Prerequisites: CS 2102 or CS 2120, and CS 2110 or CS 2501 topic ""DSA 2"" or the CS 2110 placement test; both with grades of C- or higher."
16146,CS,3205,001,Lecture,3,Panagiotis Apostolellis,TuTh 3:30pm - 4:45pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,HCI in Software Development,,Open,0,100,0,"Human-computer interaction and user-centered design in the context of software engineering. Examines the fundamental principles of human-computer interaction. Includes evaluating a system's usability based on well-defined criteria; user and task analysis, as well as conceptual models and metaphors; the use of prototyping for evaluating design alternatives; and physical design of software user-interfaces, including windows, menus, and commands.Prerequisite: CS 2110 or CS 2501 topic DSA 2 with a grade of C- or higher, of the CS 2110 placement test."
15915,CS,3240,001,Lecture,3,Paul McBurney,TuTh 11:00am - 12:15pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Advanced Software Development Techniques,,Open,0,140,0,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation. Prerequisite: CS 2150 with a grade of C- or higher."
16438,CS,3240,002,Lecture,3,Paul McBurney,TuTh 2:00pm - 3:15pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Advanced Software Development Techniques,,Open,0,140,0,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation. Prerequisite: CS 2150 with a grade of C- or higher."
15426,CS,3240,101,Laboratory,0,Paul McBurney,TBA,TBA,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Advanced Software Development Techniques,,Open,0,280,0,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, accounting, configuration control, and documentation. Prerequisite: CS 2150 with a grade of C- or higher."
20472,CS,3250,001,Lecture,3,Upsorn Praphamontripong,MoWeFr 1:00pm - 1:50pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Software Testing,,Open,0,125,0,"An introduction to testing for assuring software quality. Covers concepts and techniques for testing software, including testing at the unit, module, subsystem, and system levels; automatic and manual techniques for generating and validating test data; the testing process; static vs. dynamic analysis; functional testing; inspections; testing in specific application domains; and reliability assessment.Prerequisite: CS 2150 or CS 2501 topic DSA2 with a grade of C- or higher."
15947,CS,3330,100,Lecture,3,Staff,TuTh 11:00am - 12:15pm,Olsson Hall 120,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Architecture,,Open,0,135,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. Prerequisite: CS 2150 or CS 2501 Topic ""DSA2"" with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 4435. CPE majors cannot use this course to fulfill their program of study."
15948,CS,3330,101,Laboratory,0,Staff,We 2:00pm - 3:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Architecture,,Open,0,80,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. Prerequisite: CS 2150 or CS 2501 Topic ""DSA2"" with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 4435. CPE majors cannot use this course to fulfill their program of study."
19183,CS,3330,102,Laboratory,0,Staff,We 5:00pm - 6:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Architecture,,Open,0,80,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. Prerequisite: CS 2150 or CS 2501 Topic ""DSA2"" with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 4435. CPE majors cannot use this course to fulfill their program of study."
20616,CS,3330,200,Lecture,3,TBA,TBA,TBA,TBA,,,,,,,,,,,,,Computer Architecture,,Open,0,135,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. Prerequisite: CS 2150 or CS 2501 Topic ""DSA2"" with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 4435. CPE majors cannot use this course to fulfill their program of study."
15949,CS,3330,201,Laboratory,0,Staff,We 3:30pm - 4:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Architecture,,Open,0,80,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. Prerequisite: CS 2150 or CS 2501 Topic ""DSA2"" with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 4435. CPE majors cannot use this course to fulfill their program of study."
16215,CS,3330,202,Laboratory,0,Staff,We 12:30pm - 1:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Architecture,,Open,0,80,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. Prerequisite: CS 2150 or CS 2501 Topic ""DSA2"" with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 4435. CPE majors cannot use this course to fulfill their program of study."
19184,CS,3330,203,Laboratory,0,Staff,We 6:30pm - 7:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Computer Architecture,,Open,0,80,0,"Includes the organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. Prerequisite: CS 2150 or CS 2501 Topic ""DSA2"" with a grade of C- or higher. CS 2330 recommended. Students may not receive credit for both CS 3330 and ECE 4435. CPE majors cannot use this course to fulfill their program of study."
16671,CS,3501,001,Lecture,1 - 3,Tom Fletcher,TuTh 5:00pm - 6:15pm,Thornton Hall E303,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Special Topics in Computer Science,Foundations of Data Analysis,Open,0,50,0,"Content varies, depending on instructor interests and the needs of the Department. Taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
16728,CS,3501,002,Lecture,1 - 3,Joanne Dugan,MoWeFr 11:00am - 12:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Special Topics in Computer Science,Embedded Computing & Robotics I,Open,0,30,0,"Content varies, depending on instructor interests and the needs of the Department. Taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
16608,CS,3710,001,Lecture,3,Angela Orebaugh,MoWeFr 9:00am - 9:50am,Olsson Hall 120,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Cybersecurity,,Open,0,125,0,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or CS 2501 topic DSA2 with a grade of C- or higher."
19186,CS,3710,002,Lecture,3,Angela Orebaugh,MoWeFr 12:00pm - 12:50pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Cybersecurity,,Open,0,125,0,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or CS 2501 topic DSA2 with a grade of C- or higher."
15522,CS,4102,001,Lecture,3,Robbie Hott,MoWe 2:00pm - 3:15pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Algorithms,,Open,0,160,0,"Introduces the analysis of algorithms and the effects of data structures on them. Algorithms selected from areas such as sorting, searching, shortest paths, greedy algorithms, backtracking, divide-and-conquer, and dynamic programming. Data structures include heaps and search, splay, and spanning trees. Analysis techniques include asymtotic worst case, expected time, amortized analysis, and reductions between problems. Prerequisite: CS 2150 or CS 2501 topic DSA2 with a grade of C- or higher, and CS 2102 or CS 2120 with grades of C- or higher, and APMA 1090 or MATH 1210 or MATH 1310."
16294,CS,4102,002,Lecture,3,Tom Horton,MoWe 3:30pm - 4:45pm,Rice Hall 130,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Algorithms,,Open,0,160,0,"Introduces the analysis of algorithms and the effects of data structures on them. Algorithms selected from areas such as sorting, searching, shortest paths, greedy algorithms, backtracking, divide-and-conquer, and dynamic programming. Data structures include heaps and search, splay, and spanning trees. Analysis techniques include asymtotic worst case, expected time, amortized analysis, and reductions between problems. Prerequisite: CS 2150 or CS 2501 topic DSA2 with a grade of C- or higher, and CS 2102 or CS 2120 with grades of C- or higher, and APMA 1090 or MATH 1210 or MATH 1310."
